NOME,ID_LATTES,INSTITUICAO
PEDRO HENRIQUE RODRIGUES PEREIRA,4025356034594990,e452d709-0e4f-46cb-9449-50dd5310ac296
PEDRO VIANNA PESSOA DE MENDONCA,7279076182935918,e452d709-0e4f-46cb-9449-50dd5310ac297
PRISCILLA MACEDO MOURA,1049296252030551,e452d709-0e4f-46cb-9449-50dd5310ac298
RAFAEL AUGUSTO MAGALHAES FERREIRA,6498631908423245,e452d709-0e4f-46cb-9449-50dd5310ac299
RAMON PEREIRA DA SILVA,2416743116925706,e452d709-0e4f-46cb-9449-50dd5310ac300
RAONI BARROS BAGNO,8945414898196842,e452d709-0e4f-46cb-9449-50dd5310ac301
RAONI GUERRA LUCAS RAJAO,8230430746330911,e452d709-0e4f-46cb-9449-50dd5310ac302
RAPHAEL NUNES DE OLIVEIRA,0514681655241468,e452d709-0e4f-46cb-9449-50dd5310ac303
RAPHAEL TOBIAS DE VASCONCELOS BARROS,3301350205093398,e452d709-0e4f-46cb-9449-50dd5310ac304
REINALDO MARTINEZ PALHARES,1268773789851994,e452d709-0e4f-46cb-9449-50dd5310ac305
RENAN COLLANTES CANDIA,4502462011499975,e452d709-0e4f-46cb-9449-50dd5310ac306
RENAN FERNANDES KOZAN,6033302219890695,e452d709-0e4f-46cb-9449-50dd5310ac307
RICARDO DE OLIVEIRA DUARTE,8616379159674273,e452d709-0e4f-46cb-9449-50dd5310ac308
RICARDO GERALDO DE SOUSA,2186730487538620,e452d709-0e4f-46cb-9449-50dd5310ac309
RICARDO LUIZ DA SILVA ADRIANO,4249905570348130,e452d709-0e4f-46cb-9449-50dd5310ac310
RICARDO LUIZ UTSCH DE FREITAS PINTO,8396069891881112,e452d709-0e4f-46cb-9449-50dd5310ac311
RICARDO POLEY MARTINS FERREIRA,8593011064159611,e452d709-0e4f-46cb-9449-50dd5310ac312
RICARDO SARAIVA DE CAMARGO,3129215067425344,e452d709-0e4f-46cb-9449-50dd5310ac313
RISIA MAGRIOTIS PAPINI,0718924631584680,e452d709-0e4f-46cb-9449-50dd5310ac314
ROBERTO BRAGA FIGUEIREDO,6044618188125307,e452d709-0e4f-46cb-9449-50dd5310ac315
ROBERTO GALERY,0520572196331194,e452d709-0e4f-46cb-9449-50dd5310ac316
ROBERTO MARCIO DA SILVA,7997560123447909,e452d709-0e4f-46cb-9449-50dd5310ac317
RODNEY REZENDE SALDANHA,6139200689397504,e452d709-0e4f-46cb-9449-50dd5310ac318
RODRIGO BARRETO CALDAS,1350181357119160,e452d709-0e4f-46cb-9449-50dd5310ac319
RODRIGO GUERRA PEIXOTO,1576738771956893,e452d709-0e4f-46cb-9449-50dd5310ac320
RODRIGO LAMBERT OREFICE,4612177644565039,e452d709-0e4f-46cb-9449-50dd5310ac321
RODRIGO MAGALHAES RIBEIRO,9221709718813981,e452d709-0e4f-46cb-9449-50dd5310ac322
RODRIGO RODRIGUES BASTOS,0133737737311686,e452d709-0e4f-46cb-9449-50dd5310ac323
RONDERSON QUEIROZ HILARIO,1850313669616821,e452d709-0e4f-46cb-9449-50dd5310ac324
ROQUE LUIZ DA SILVA PITANGUEIRA,6350941947291905,e452d709-0e4f-46cb-9449-50dd5310ac325
RUDOLF HUEBNER,9514309218273598,e452d709-0e4f-46cb-9449-50dd5310ac326
SAMUEL SILVA PENNA,2922153309101187,e452d709-0e4f-46cb-9449-50dd5310ac327
SAMUEL VIEIRA CONCEICAO,1169359835970569,e452d709-0e4f-46cb-9449-50dd5310ac328
SEBASTIAO SALVADOR REAL PEREIRA,8341384502434540,e452d709-0e4f-46cb-9449-50dd5310ac329
SERGIO LUIZ CABRAL DA SILVA,9157072322949909,e452d709-0e4f-46cb-9449-50dd5310ac330
SIDELMO MAGALHAES SILVA,4356279128408928,e452d709-0e4f-46cb-9449-50dd5310ac331
SIDNEA ELIANE CAMPOS RIBEIRO,7970038040751766,e452d709-0e4f-46cb-9449-50dd5310ac332
SILVERIO VISACRO FILHO,0210093975299031,e452d709-0e4f-46cb-9449-50dd5310ac333
SILVIA MARIA ALVES CORREA OLIVEIRA,0533069759765601,e452d709-0e4f-46cb-9449-50dd5310ac334
SOFIA MARIA CARRATO DINIZ,3233497819592258,e452d709-0e4f-46cb-9449-50dd5310ac335
SONALY CRISTINA REZENDE BORGES DE LIMA,2117243174600970,e452d709-0e4f-46cb-9449-50dd5310ac336
SONIA DENISE FERREIRA ROCHA,4453672540711904,e452d709-0e4f-46cb-9449-50dd5310ac337
SONIA SEGER PEREIRA MERCEDES,5831942962758025,e452d709-0e4f-46cb-9449-50dd5310ac338
TACIANA TOLEDO DE ALMEIDA ALBUQUERQUE,1339985577872129,e452d709-0e4f-46cb-9449-50dd5310ac339
TALITA CAROLINE MIRANDA,7173437103345457,e452d709-0e4f-46cb-9449-50dd5310ac340
TALITA FERNANDA DAS GRACAS SILVA,6530734165103143,e452d709-0e4f-46cb-9449-50dd5310ac341
TANIA LUCIA SANTOS MIRANDA,7581564584573170,e452d709-0e4f-46cb-9449-50dd5310ac342
